pid_integral,pid_derivative,pid_proportional,integral_sum,motor_target,gyro_offset,gyro_value,motors_enabled
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.38,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.6,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.54,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.64,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.65,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.57,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.62,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.62,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.52,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.38,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
